Date,Description,Debit,Credit
01/06/2025,UPI-SWIGGY-swiggy@ybl-YESB0000022-425678901,349.00,
02/06/2025,NEFT-HDFC0001234-ACME CORP-SALARY,,75000.00
02/06/2025,UPI-RENT PAYMENT-landlord@icici-ICIC0001234-111111,32000.00,
03/06/2025,UPI-ZOMATO-zomato@paytm-PYTM0123456-523461,275.00,
04/06/2025,UPI-NETFLIX-netflix@icici-ICIC0006789-672345,199.00,
05/06/2025,POS 423867*RELIANCE FRESH MUMBAI IN,1245.00,
06/06/2025,UPI-OLA CABS-ola@axisbank-UTIB0002345-789012,187.00,
07/06/2025,UPI-SPOTIFY INDIA-spotify@ybl-YESB0000022-891234,119.00,
08/06/2025,UPI-STARBUCKS-starbucks@hdfcbank-HDFC0001234-901234,450.00,
09/06/2025,UPI-SWIGGY-swiggy@ybl-YESB0000022-112345,520.00,
10/06/2025,UPI-UBER INDIA-uber@icici-ICIC0006789-223456,342.00,
11/06/2025,BIL/ACT FIBERNET/BROADBAND/JUNE2025,799.00,
12/06/2025,UPI-BIGBASKET-bigbasket@ybl-YESB0000022-334567,1876.00,
13/06/2025,UPI-CULT FIT-cultfit@hdfcbank-HDFC0001234-445678,999.00,
14/06/2025,POS 891234*INDIAN OIL PETROL PUMP MUMBAI,2500.00,
15/06/2025,UPI-PHARMEASY-pharmeasy@paytm-PYTM0123456-556789,650.00,
16/06/2025,UPI-SWIGGY-swiggy@ybl-YESB0000022-667890,189.00,
17/06/2025,UPI-ZOMATO-zomato@paytm-PYTM0123456-778901,430.00,
18/06/2025,UPI-UBER INDIA-uber@icici-ICIC0006789-889012,215.00,
19/06/2025,UPI-AMAZON PAY-amazon@apl-UTIB0002345-990123,3200.00,
20/06/2025,UPI-RAPIDO-rapido@ybl-YESB0000022-101234,85.00,
21/06/2025,POS 567890*DECATHLON SPORTS PUNE IN,4500.00,
22/06/2025,UPI-BLINKIT-blinkit@paytm-PYTM0123456-212345,430.00,
23/06/2025,UPI-SWIGGY-swiggy@ybl-YESB0000022-323456,610.00,
24/06/2025,CC 000381672*CROMA ELECTRONICS MUMBAI,45000.00,
25/06/2025,UPI-OLA CABS-ola@axisbank-UTIB0002345-434567,290.00,
26/06/2025,UPI-ZEPTO-zepto@icici-ICIC0006789-545678,380.00,
27/06/2025,POS 678901*MORE SUPERMARKET MUMBAI IN,890.00,
28/06/2025,UPI-BOOKMYSHOW-bms@hdfcbank-HDFC0001234-656789,750.00,
29/06/2025,UPI-AIRTEL-airtel@paytm-PYTM0123456-767890,599.00,
30/06/2025,UPI-SWIGGY-swiggy@ybl-YESB0000022-878901,445.00,
01/07/2025,NEFT-HDFC0001234-ACME CORP-SALARY,,75000.00
02/07/2025,UPI-RENT PAYMENT-landlord@icici-ICIC0001234-222222,32000.00,
02/07/2025,UPI-ZOMATO-zomato@paytm-PYTM0123456-989012,310.00,
03/07/2025,UPI-NETFLIX-netflix@icici-ICIC0006789-100123,199.00,
04/07/2025,UPI-SWIGGY-swiggy@ybl-YESB0000022-211234,275.00,
05/07/2025,UPI-UBER INDIA-uber@icici-ICIC0006789-322345,198.00,
06/07/2025,POS 423867*RELIANCE FRESH MUMBAI IN,1560.00,
07/07/2025,UPI-SPOTIFY INDIA-spotify@ybl-YESB0000022-433456,119.00,
08/07/2025,UPI-OLA CABS-ola@axisbank-UTIB0002345-544567,165.00,
09/07/2025,UPI-STARBUCKS-starbucks@hdfcbank-HDFC0001234-655678,520.00,
10/07/2025,UPI-BIGBASKET-bigbasket@ybl-YESB0000022-766789,2100.00,
11/07/2025,BIL/ACT FIBERNET/BROADBAND/JULY2025,799.00,
12/07/2025,UPI-CULT FIT-cultfit@hdfcbank-HDFC0001234-877890,999.00,
13/07/2025,POS 891234*INDIAN OIL PETROL PUMP MUMBAI,2200.00,
14/07/2025,UPI-SWIGGY-swiggy@ybl-YESB0000022-988901,390.00,
15/07/2025,UPI-ZOMATO-zomato@paytm-PYTM0123456-099012,545.00,
16/07/2025,UPI-RAPIDO-rapido@ybl-YESB0000022-210123,95.00,
17/07/2025,UPI-AMAZON PAY-amazon@apl-UTIB0002345-321234,1850.00,
18/07/2025,UPI-UBER INDIA-uber@icici-ICIC0006789-432345,275.00,
19/07/2025,UPI-PHARMEASY-pharmeasy@paytm-PYTM0123456-543456,420.00,
20/07/2025,UPI-BLINKIT-blinkit@paytm-PYTM0123456-654567,310.00,
21/07/2025,UPI-SWIGGY-swiggy@ybl-YESB0000022-765678,485.00,
22/07/2025,POS 567890*DMart MUMBAI IN,2340.00,
23/07/2025,UPI-ZEPTO-zepto@icici-ICIC0006789-876789,290.00,
24/07/2025,UPI-BOOKMYSHOW-bms@hdfcbank-HDFC0001234-987890,500.00,
25/07/2025,UPI-OLA CABS-ola@axisbank-UTIB0002345-098901,220.00,
26/07/2025,UPI-AIRTEL-airtel@paytm-PYTM0123456-109012,599.00,
27/07/2025,UPI-SWIGGY-swiggy@ybl-YESB0000022-210123,355.00,
28/07/2025,UPI-ZOMATO-zomato@paytm-PYTM0123456-321234,680.00,
29/07/2025,POS 678901*APOLLO PHARMACY MUMBAI IN,1250.00,
31/07/2025,UPI-SWIGGY-swiggy@ybl-YESB0000022-543456,410.00,
